player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
39559852,Adeel Bari,9726448,Macchike Mustangs,4,1,0,0,-,0,0.00,1,RHB,0,0,0,0
39559898,M Junaid,9726458,Fazilpur Falcons,5,1,0,0,-,0,0.00,1,RHB,0,0,0,0
39406190,Umair Ahmed Siddiqui,9726488,Kot Bahadur Shah Bulls,6,1,0,0,-,0,0.00,1,RHB,0,0,0,0
39606209,Saeed Iqbal,9726479,Port Qasim Panthers,7,1,0,0,-,0,0.00,1,RHB,0,0,0,0
39405270,Syed Ather Waqar,9726471,Keamari Kings,9,1,0,0,-,1,0,0,RHB,0,0,0,0
39606538,Shayan Amin Ahmed,9726462,Bubak Blasters,5,2,0,0,-,1,0.00,1,RHB,0,0,0,0
39446451,Ahsan,9726452,Shikarpur Stallions,7,2,0,0,-,2,0.00,2,RHB,0,0,0,0
39404794,Zafar Iqbal,9726471,Keamari Kings,1,0,0,0,-,0,0,0,-,0,0,0,0
39405383,Syed Hammad Ahmed,9726471,Keamari Kings,1,0,0,0,-,0,0,0,-,0,0,0,0
39446542,Aftab,9726452,Shikarpur Stallions,1,0,0,0,-,0,0,0,-,0,0,0,0
39559869,Ather Ali,9726458,Fazilpur Falcons,1,0,0,0,-,0,0,0,-,0,0,0,0
39559870,Jawad Ahmed,9726458,Fazilpur Falcons,1,0,0,0,-,0,0,0,-,0,0,0,0
39605894,Asif Ansari,9726435,Mahmoodkot Mavericks,1,0,0,0,-,0,0,0,-,0,0,0,0
39606000,Imran Mushtaq,9726435,Mahmoodkot Mavericks,1,0,0,0,-,0,0,0,-,0,0,0,0
39606070,Tariq Jahangir,9726435,Mahmoodkot Mavericks,1,0,0,0,-,0,0,0,-,0,0,0,0
39606204,Shirjeel Agha,9726479,Port Qasim Panthers,1,0,0,0,-,0,0,0,-,0,0,0,0
39606205,M Qasim Bajwa,9726479,Port Qasim Panthers,1,0,0,0,-,0,0,0,-,0,0,0,0
39606353,Ali Hussain,9726479,Port Qasim Panthers,1,0,0,0,-,0,0,0,-,0,0,0,0
39606516,Faisal Amir,9726462,Bubak Blasters,1,0,0,0,-,0,0,0,-,0,0,0,0
39606518,M Saad Khan,9726462,Bubak Blasters,1,0,0,0,-,0,0,0,-,0,0,0,0
40343126,Major Imran,9726462,Bubak Blasters,1,0,0,0,-,0,0,0,-,0,0,0,0
39406043,M Ibraheem Shaikh,9726488,Kot Bahadur Shah Bulls,2,0,0,0,-,0,0,0,RHB,0,0,0,0
39406192,Yahya Shahid,9726488,Kot Bahadur Shah Bulls,2,0,0,0,-,0,0,0,RHB,0,0,0,0
39406195,Hafiz M Faisal,9726488,Kot Bahadur Shah Bulls,2,0,0,0,-,0,0,0,-,0,0,0,0
39406197,Jameel Ahmed,9726488,Kot Bahadur Shah Bulls,2,0,0,0,-,0,0,0,-,0,0,0,0
39446551,Afnan,9726452,Shikarpur Stallions,2,0,0,0,-,0,0,0,-,0,0,0,0
39559853,Umair Asghar,9726448,Macchike Mustangs,2,0,0,0,-,0,0,0,-,0,0,0,0
39606077,M Shoaib Qaiser Khan,9726435,Mahmoodkot Mavericks,2,0,0,0,-,0,0,0,-,0,0,0,0
39606350,Rizwan Zafar Siddiqui,9726479,Port Qasim Panthers,2,0,0,0,-,0,0,0,-,0,0,0,0
39606358,M Bilal,9726479,Port Qasim Panthers,2,0,0,0,-,0,0,0,-,0,0,0,0
39606589,Shakir Shabbir,9726462,Bubak Blasters,2,0,0,0,-,0,0,0,-,0,0,0,0
39606590,Kashan Rasheed,9726462,Bubak Blasters,2,0,0,0,-,0,0,0,-,0,0,0,0
40082161,Azhar Masud,9726435,Mahmoodkot Mavericks,2,0,0,0,-,0,0,0,-,0,0,0,0
39559897,Rizwan Khurram,9726458,Fazilpur Falcons,3,0,0,0,-,0,0,0,-,0,0,0,0
39559899,Shah Muhammad,9726458,Fazilpur Falcons,3,0,0,0,-,0,0,0,-,0,0,0,0
39559902,M Imran Ganatra,9726458,Fazilpur Falcons,3,0,0,0,-,0,0,0,-,0,0,0,0
39606067,Amir Qarnain,9726435,Mahmoodkot Mavericks,3,0,0,0,-,0,0,0,-,0,0,0,0
39606591,Asad Ashraf,9726462,Bubak Blasters,3,0,0,0,-,0,0,0,-,0,0,0,0
39405272,Syed Saad Naseem,9726471,Keamari Kings,4,0,0,0,-,0,0,0,-,0,0,0,0
39446548,Farrukh,9726452,Shikarpur Stallions,4,0,0,0,-,0,0,0,-,0,0,0,0
39559900,M Nouman,9726458,Fazilpur Falcons,4,0,0,0,-,0,0,0,-,0,0,0,0
39606355,Kafeel Ahmed,9726479,Port Qasim Panthers,4,0,0,0,-,0,0,0,RHB,0,0,0,0
39606074,M Rashid Jahangir,9726435,Mahmoodkot Mavericks,5,0,0,0,-,0,0,0,-,0,0,0,0
39446455,Nasir,9726452,Shikarpur Stallions,6,0,0,0,-,0,0,0,-,0,0,0,0
36970209,Muhammad Khursheed,9726471,Keamari Kings,7,0,0,0,-,0,0,0,RHB,0,0,0,0
39606009,Ahmad Rafe Noman Lodhi,9726435,Mahmoodkot Mavericks,9,0,0,0,-,0,0,0,-,0,0,0,0
