player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
39606013,M Habibullah,9726435,Mahmoodkot Mavericks,6,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606070,Tariq Jahangir,9726435,Mahmoodkot Mavericks,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606074,M Rashid Jahangir,9726435,Mahmoodkot Mavericks,5,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606077,M Shoaib Qaiser Khan,9726435,Mahmoodkot Mavericks,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606204,Shirjeel Agha,9726479,Port Qasim Panthers,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606205,M Qasim Bajwa,9726479,Port Qasim Panthers,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606215,Waqas Hassan,9726479,Port Qasim Panthers,5,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606349,Saqib Naim,9726479,Port Qasim Panthers,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606350,Rizwan Zafar Siddiqui,9726479,Port Qasim Panthers,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606351,Saad Mansoor,9726479,Port Qasim Panthers,4,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606353,Ali Hussain,9726479,Port Qasim Panthers,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606358,M Bilal,9726479,Port Qasim Panthers,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606516,Faisal Amir,9726462,Bubak Blasters,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606518,M Saad Khan,9726462,Bubak Blasters,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606526,Muneeb Ul Hassan,9726462,Bubak Blasters,7,0,,,,0.00,0.00,0,0,0,Right-arm Off Break,0.0,0
39606538,Shayan Amin Ahmed,9726462,Bubak Blasters,5,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606541,M Moiz Khan,9726462,Bubak Blasters,3,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606589,Shakir Shabbir,9726462,Bubak Blasters,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606590,Kashan Rasheed,9726462,Bubak Blasters,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606591,Asad Ashraf,9726462,Bubak Blasters,3,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606592,M Qasim 500i,9726462,Bubak Blasters,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39635972,Sheraz Khan,9726452,Shikarpur Stallions,6,0,,,,0.00,0.00,0,0,0,-,0.0,0
40082161,Azhar Masud,9726435,Mahmoodkot Mavericks,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
40343126,Major Imran,9726462,Bubak Blasters,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
